subject,graph,method,n_channels,accuracy
5,1,3,12,0.7583333333333333
5,1,3,15,0.7333333333333334
5,1,3,18,0.7583333333333334
5,1,3,21,0.7500000000000001
5,1,3,24,0.7416666666666666
5,1,3,27,0.7833333333333334
5,1,3,30,0.7666666666666667
5,1,3,30,0.7666666666666667
6,1,1,3,0.7166666666666667
6,1,1,4,0.8
6,1,1,5,0.7666666666666667
6,1,1,7,0.7666666666666666
6,1,1,8,0.825
6,1,1,9,0.875
6,1,1,11,0.8583333333333332
6,1,1,12,0.8583333333333334
6,1,1,13,0.8833333333333332
6,1,1,14,0.875
6,1,1,16,0.8833333333333334
6,1,1,18,0.9
6,1,1,20,0.9083333333333332
6,1,1,22,0.8916666666666666
6,1,1,29,0.925
6,1,1,30,0.925
6,1,2,3,0.4833333333333334
6,1,2,6,0.4416666666666667
6,1,2,9,0.775
6,1,2,12,0.8916666666666668
6,1,2,15,0.9083333333333334
6,1,2,18,0.875
6,1,2,21,0.8833333333333334
6,1,2,24,0.925
6,1,2,27,0.9166666666666666
6,1,2,30,0.925
6,1,2,30,0.925
6,1,3,3,0.7416666666666667
6,1,3,6,0.825
6,1,3,9,0.7916666666666667
6,1,3,12,0.7833333333333334
6,1,3,15,0.7916666666666667
6,1,3,18,0.85
6,1,3,21,0.8333333333333334
6,1,3,24,0.9083333333333332
6,1,3,27,0.9083333333333334
6,1,3,30,0.925
6,1,3,30,0.925
7,1,1,3,0.6916666666666667
7,1,1,4,0.6666666666666667
7,1,1,5,0.6333333333333334
7,1,1,7,0.65
7,1,1,8,0.625
7,1,1,9,0.6166666666666667
7,1,1,11,0.675
7,1,1,12,0.6416666666666666
7,1,1,13,0.7083333333333333
7,1,1,14,0.75
7,1,1,16,0.7
7,1,1,18,0.7666666666666667
7,1,1,20,0.7333333333333333
7,1,1,22,0.7833333333333333
7,1,1,29,0.7416666666666666
7,1,1,30,0.7416666666666666
7,1,2,3,0.5250000000000001
7,1,2,6,0.6833333333333333
7,1,2,9,0.7666666666666667
7,1,2,12,0.7333333333333333
7,1,2,15,0.6833333333333333
7,1,2,18,0.7333333333333334
7,1,2,21,0.7416666666666667
7,1,2,24,0.7333333333333334
7,1,2,27,0.75
7,1,2,30,0.7416666666666666
7,1,2,30,0.7416666666666666
7,1,3,3,0.5750000000000001
7,1,3,6,0.6583333333333333
7,1,3,9,0.6083333333333333
7,1,3,12,0.7083333333333333
7,1,3,15,0.7416666666666666
7,1,3,18,0.7333333333333333
7,1,3,21,0.7916666666666667
7,1,3,24,0.7666666666666667
7,1,3,27,0.7416666666666666
7,1,3,30,0.7416666666666666
