subject,graph,method,n_channels,accuracy
18,1,1,7,0.5
18,1,1,8,0.4333333333333334
18,1,1,9,0.4333333333333334
18,1,1,11,0.4333333333333333
18,1,1,12,0.4833333333333333
18,1,1,13,0.4916666666666667
18,1,1,14,0.5
18,1,1,16,0.4333333333333333
18,1,1,18,0.475
18,1,1,20,0.475
18,1,1,22,0.4416666666666667
18,1,1,29,0.4
18,1,1,30,0.4
18,1,2,3,0.3583333333333333
18,1,2,6,0.4749999999999999
18,1,2,9,0.4166666666666667
18,1,2,12,0.45
18,1,2,15,0.4333333333333333
18,1,2,18,0.41666666666666663
18,1,2,21,0.4083333333333333
18,1,2,24,0.4833333333333334
18,1,2,27,0.4666666666666667
18,1,2,30,0.4
18,1,2,30,0.4
18,1,3,3,0.45
18,1,3,6,0.45
18,1,3,9,0.525
18,1,3,12,0.4083333333333333
18,1,3,15,0.5166666666666666
18,1,3,18,0.4583333333333333
18,1,3,21,0.5166666666666666
18,1,3,24,0.4666666666666667
18,1,3,27,0.4
18,1,3,30,0.4
18,1,3,30,0.4
19,1,1,3,0.8
19,1,1,4,0.7750000000000001
19,1,1,5,0.825
19,1,1,7,0.8416666666666668
19,1,1,8,0.9166666666666666
19,1,1,9,0.9166666666666666
19,1,1,11,0.9166666666666666
19,1,1,12,0.925
19,1,1,13,0.9
19,1,1,14,0.9083333333333334
19,1,1,16,0.9166666666666666
19,1,1,18,0.9083333333333334
19,1,1,20,0.9
19,1,1,22,0.9083333333333334
19,1,1,29,0.9083333333333332
19,1,1,30,0.9083333333333332
19,1,2,3,0.5
19,1,2,6,0.5999999999999999
19,1,2,9,0.7333333333333334
19,1,2,12,0.7666666666666666
19,1,2,15,0.8666666666666668
19,1,2,18,0.9166666666666666
19,1,2,21,0.9333333333333333
19,1,2,24,0.925
19,1,2,27,0.9083333333333332
19,1,2,30,0.9083333333333332
19,1,2,30,0.9083333333333332
19,1,3,3,0.6333333333333333
19,1,3,6,0.8083333333333333
19,1,3,9,0.8166666666666668
19,1,3,12,0.9083333333333332
19,1,3,15,0.875
19,1,3,18,0.9
19,1,3,21,0.9583333333333333
19,1,3,24,0.9583333333333333
19,1,3,27,0.9083333333333332
19,1,3,30,0.9083333333333332
19,1,3,30,0.9083333333333332
20,1,1,3,0.45833333333333337
20,1,1,4,0.475
20,1,1,5,0.4583333333333333
20,1,1,7,0.525
20,1,1,8,0.5166666666666666
20,1,1,9,0.525
20,1,1,11,0.55
20,1,1,12,0.5833333333333333
20,1,1,13,0.575
20,1,1,14,0.5916666666666667
20,1,1,16,0.6666666666666667
20,1,1,18,0.6416666666666666
20,1,1,20,0.575
20,1,1,22,0.6
20,1,1,29,0.5999999999999999
20,1,1,30,0.5999999999999999
20,1,2,3,0.3916666666666667
20,1,2,6,0.4916666666666667
20,1,2,9,0.525
20,1,2,12,0.5416666666666666
20,1,2,15,0.575
20,1,2,18,0.5750000000000001
20,1,2,21,0.5250000000000001
20,1,2,24,0.5916666666666667
20,1,2,27,0.5999999999999999
20,1,2,30,0.5999999999999999
20,1,2,30,0.5999999999999999
20,1,3,3,0.5
20,1,3,6,0.4666666666666666
20,1,3,9,0.6083333333333333
20,1,3,12,0.5083333333333334
20,1,3,15,0.6
20,1,3,18,0.6333333333333333
20,1,3,21,0.55
20,1,3,24,0.5916666666666666
20,1,3,27,0.5999999999999999
20,1,3,30,0.5999999999999999
20,1,3,30,0.5999999999999999
21,1,1,3,0.35833333333333334
21,1,1,4,0.4083333333333334
21,1,1,5,0.45
21,1,1,7,0.425
21,1,1,8,0.4416666666666667
21,1,1,9,0.4583333333333333
21,1,1,11,0.4416666666666666
21,1,1,12,0.4333333333333333
21,1,1,13,0.45
21,1,1,14,0.4333333333333333
21,1,1,16,0.5166666666666667
21,1,1,18,0.5666666666666667
21,1,1,20,0.5333333333333332
