subject,graph,method,n_channels,accuracy
12,1,1,13,0.6888888888888889
12,1,1,14,0.7
12,1,1,17,0.7111111111111111
12,1,1,19,0.7555555555555555
12,1,1,24,0.7333333333333334
12,1,1,26,0.6666666666666667
12,1,1,30,0.7
12,1,1,32,0.7444444444444445
12,1,1,34,0.7444444444444445
12,1,1,36,0.7222222222222222
12,1,1,37,0.6888888888888889
12,1,1,63,0.7555555555555555
12,1,1,64,0.7555555555555555
12,1,2,10,0.6
12,1,2,15,0.7111111111111111
12,1,2,20,0.7555555555555554
12,1,2,25,0.7000000000000001
12,1,2,30,0.7777777777777777
12,1,2,35,0.7222222222222223
12,1,2,40,0.6888888888888889
12,1,2,45,0.6888888888888889
12,1,2,50,0.7999999999999999
12,1,2,55,0.7555555555555555
12,1,2,60,0.7444444444444445
12,1,2,64,0.7555555555555555
12,1,3,10,0.7333333333333333
12,1,3,15,0.7333333333333333
12,1,3,20,0.6444444444444445
12,1,3,25,0.7444444444444444
12,1,3,30,0.7555555555555555
12,1,3,35,0.7444444444444445
12,1,3,40,0.7888888888888889
12,1,3,45,0.7888888888888889
12,1,3,50,0.8
12,1,3,55,0.7555555555555555
12,1,3,60,0.7888888888888889
12,1,3,64,0.7555555555555555
13,1,1,6,0.5444444444444445
13,1,1,11,0.8111111111111111
13,1,1,13,0.8333333333333333
13,1,1,14,0.8222222222222222
13,1,1,17,0.8333333333333333
13,1,1,19,0.8222222222222222
13,1,1,24,0.8111111111111111
13,1,1,26,0.8666666666666666
13,1,1,30,0.8222222222222222
13,1,1,32,0.8222222222222222
13,1,1,34,0.8
13,1,1,36,0.8444444444444444
13,1,1,37,0.8111111111111111
13,1,1,63,0.8777777777777777
13,1,1,64,0.8777777777777777
13,1,2,10,0.7555555555555555
13,1,2,15,0.8222222222222222
13,1,2,20,0.8444444444444443
13,1,2,25,0.8333333333333334
13,1,2,30,0.8444444444444444
13,1,2,35,0.8888888888888887
13,1,2,40,0.8555555555555555
13,1,2,45,0.8444444444444444
13,1,2,50,0.8777777777777777
13,1,2,55,0.8666666666666666
13,1,2,60,0.8777777777777777
13,1,2,64,0.8777777777777777
13,1,3,10,0.5444444444444445
13,1,3,15,0.6888888888888889
13,1,3,20,0.7222222222222222
13,1,3,25,0.8666666666666666
13,1,3,30,0.8333333333333333
13,1,3,35,0.8555555555555555
13,1,3,40,0.8666666666666666
13,1,3,45,0.8555555555555555
13,1,3,50,0.8333333333333333
13,1,3,55,0.8555555555555555
13,1,3,60,0.8777777777777777
13,1,3,64,0.8777777777777777
14,1,1,6,0.6666666666666666
14,1,1,11,0.7
14,1,1,13,0.7666666666666666
14,1,1,14,0.8111111111111111
14,1,1,17,0.8666666666666666
14,1,1,19,0.7555555555555555
14,1,1,24,0.711111111111111
14,1,1,26,0.7555555555555555
14,1,1,30,0.7666666666666666
14,1,1,32,0.7333333333333334
14,1,1,34,0.7444444444444445
